idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
19,10.1111/j.1467-9892.2004.00381.x,On The Peña–Box Model,Journal of Time Series Analysis,2004-10,https://openalex.org/W2017620639,True,"Abstract. Peña and Box [Journal of Americal Statistical Association (1987) Vol. 82, PP. 836–843] proposed a factor model which aimed to explore the possibility of using lower‐dimensional series to represent or explain an observed higher‐dimensional multiple time series. However, there were no statistics with distribution results with which to build the model. In this paper, we derive a statistical procedure to build the model for stationary and first‐order non‐stationary series. The main idea, conducted by the canonical correlation analysis between present series and non‐present series, is an extension of the concept of the scalar component model proposed by Tiao and Tsay [Journal of the Royal Statistical Society B (1989) Vol. 51, pp. 157–213]. Finally, simulation studies and reanalysis of two real data sets are illustrated.",
20,10.1111/j.1467-9892.2004.00384.x,Semiparametric Bayesian Inference of Long‐Memory Stochastic Volatility Models,Journal of Time Series Analysis,2004-10,https://openalex.org/W2122135039,True,"Abstract. In this paper, a semiparametric, Bayesian estimator of the long‐memory stochastic volatility model's fractional order of integration is presented. This new estimator relies on a highly efficient, Markov chain Monte Carlo (MCMC) sampler of the model's posterior distribution. The MCMC algorithm is set forth in the time‐scale domain of the stochastic volatility model's wavelet representation. The key to and centerpiece of this new algorithm is the quick and efficient multi‐state sampler of the latent volatility's wavelet coefficients. A multi‐state sampler of the latent wavelet coefficients is only possible because of the near‐independent multivariate distribution of the long‐memory process's wavelet coefficients. Using simulated and empirical stock return data, we find that our algorithm produces uncorrelated draws of the posterior distribution and point estimates that rival existing long‐memory stochastic volatility estimators.",
21,10.1111/j.1467-9892.2005.00444.x,Minimum<i>α</i>‐divergence estimation for arch models,Journal of Time Series Analysis,2006-01,https://openalex.org/W2104986144,True,"Abstract. This paper considers a minimum α ‐divergence estimation for a class of ARCH( p ) models. For these models with unknown volatility parameters, the exact form of the innovation density is supposed to be unknown in detail but is thought to be close to members of some parametric family. To approximate such a density, we first construct an estimator for the unknown volatility parameters using the conditional least squares estimator given by Tjøstheim [Stochastic processes and their applications (1986) Vol. 21, pp. 251–273]. Then, a nonparametric kernel density estimator is constructed for the innovation density based on the estimated residuals. Using techniques of the minimum Hellinger distance estimation for stochastic models and residual empirical process from an ARCH( p ) model given by Beran [Annals of Statistics (1977) Vol. 5, pp. 445–463] and Lee and Taniguchi [Statistica Sinica (2005) Vol. 15, pp. 215–234] respectively, it is shown that the proposed estimator is consistent and asymptotically normal. Moreover, a robustness measure for the score of the estimator is introduced. The asymptotic efficiency and robustness of the estimator are illustrated by simulations. The proposed estimator is also applied to daily stock returns of Dell Corporation.",
22,10.1111/j.1467-9892.2005.00449.x,The effect of observations on Bayesian choice of an autoregressive model,Journal of Time Series Analysis,2006-01,https://openalex.org/W2038490283,True,"Abstract. We consider the effect, on a Bayes factor, of omitting observations in time‐series models. In particular, we study a Bayes factor for deciding between autoregressive models of different orders. Throughout we use Gibbs sampling to estimate the parameters of the models and the marginal densities. We illustrate the methods using data generated from an autoregressive model and some data on bag snatching in the Hyde Park area of Chicago.",
23,10.1111/j.1467-9892.2005.00452.x,Uniform Limit Theory for Stationary Autoregression,Journal of Time Series Analysis,2006-01,https://openalex.org/W2163279926,True,"Abstract. First order autoregression is shown to satisfy a limit theory which is uniform over stationary values of the autoregressive coefficient ρ = ρ n ∈ [0, 1) provided (1 − ρ n ) n → ∞. This extends existing Gaussian limit theory by allowing for values of stationary ρ that include neighbourhoods of unity provided they are wider than O ( n −1 ), even by a slowly varying factor. Rates of convergence depend on ρ and are at least but less than n. Only second moments are assumed, as in the case of stationary autoregression with fixed ρ.",
24,10.1111/j.1467-9892.2006.00473.x,A Generalized Portmanteau Test For Independence Of Two Infinite‐Order Vector Autoregressive Series,Journal of Time Series Analysis,2006-02,https://openalex.org/W2159592806,True,"Abstract. In many situations, we want to verify the existence of a relationship between multivariate time series. Here, we propose a semiparametric approach for testing the independence between two infinite‐order vector autoregressive (VAR(∞)) series, which is an extension of Hong's [Biometrika (1996c) vol. 83, 615–625] univariate results. We first filter each series by a finite‐order autoregression and the test statistic is a standardized version of a weighted sum of quadratic forms in the residual cross‐correlation matrices at all possible lags. The weights depend on a kernel function and on a truncation parameter. Using a result of Lewis and Reinsel [Journal of Multivariate Analysis (1985) Vol. 16, pp. 393–411], the asymptotic distribution of the test statistic is derived under the null hypothesis and its consistency is also established for a fixed alternative of serial cross‐correlation of unknown form. Apart from standardization factors, the multivariate portmanteau statistic proposed by Bouhaddioui and Roy [Statistics and Probability Letters (2006) vol. 76, pp. 58–68] that takes into account a fixed number of lags can be viewed as a special case by using the truncated uniform kernel. However, many kernels lead to a greater power, as shown in an asymptotic power analysis and by a small simulation study in finite samples. A numerical example with real data is also presented.",
25,10.1111/j.1467-9892.2006.00479.x,Structural Laplace Transform and Compound Autoregressive Models,Journal of Time Series Analysis,2006-04,https://openalex.org/W2169213174,True,"Abstract. This paper presents a new general class of compound autoregressive (Car) models for non‐Gaussian time series. The distinctive feature of the class is that Car models are specified by means of the conditional Laplace transforms. This approach allows for simple derivation of the ergodicity conditions and ensures the existence of forecasting distributions in closed form, at any horizon. The last property is of particular interest for applications to finance and economics that investigate the term structure of variables and/or of their nonlinear transforms. The Car class includes a number of time‐series models that already exist in the literature, as well as new models introduced in this paper. Their applications are illustrated by examples of portfolio management, term structure and extreme risk analysis.",
26,10.1111/j.1467-9892.2007.00539.x,Using the HEGY Procedure When Not All Roots Are Present,Journal of Time Series Analysis,2007-06,https://openalex.org/W2171669306,True,"Abstract. Empirical studies have shown little evidence to support the presence of all unit roots present in the Δ 4 filter in quarterly seasonal time series. This paper analyses the performance of the Hylleberg, Engle, Granger and Yoo [ Journal of Econometrics (1990) Vol. 44, pp. 215–238] (HEGY) procedure when the roots under the null are not all present. We exploit the vector of quarters representation and cointegration relationship between the quarters when factors (1 − L ), (1 + L ), (1 + L 2 ), (1 − L 2 ) and (1 + L + L 2 + L 3 ) are a source of nonstationarity in a process in order to obtain the distribution of tests of the HEGY procedure when the underlying processes have a root at the zero, Nyquist frequency, two complex conjugates of frequency π /2 and two combinations of the previous cases. We show both theoretically and through a Monte Carlo analysis that the t ‐ratios t and t and the F‐ type tests used in the HEGY procedure have the same distribution as under the null of a seasonal random walk when the root(s) is (are) present, although this is not the case for the t ‐ratio tests associated with unit roots at frequency π /2.",
27,10.1111/j.1467-9892.2007.00543.x,Modelling the Dynamic Dependence Structure in Multivariate Financial Time Series,Journal of Time Series Analysis,2007-06,https://openalex.org/W1967309357,True,"Abstract. The dependence structure in multivariate financial time series is of great importance in portfolio management. By studying daily return histories of 17 exchange‐traded index funds, we identify important features of the data, and we propose two new models to capture these features. The first is an extension of the multivariate BEKK (Baba, Engle, Kraft, Kroner) model, which includes a multivariate t ‐type error distribution with different degrees of freedom. We demonstrate that this error distribution is able to accommodate different levels of heavy‐tailed behaviour and thus provides a better fit than models based on a multivariate t ‐with a common degree of freedom. The second model is copula based, and can be regarded as an extension of the standard and the generalized dynamic conditional correlation model [Engle, Journal of Business and Economics Statistics (2002) Vol. 17, 425–446; Cappiello et al. (2003) Working paper, UCSD] to a Student copula. Model comparison is carried out using criteria including the Akaike information criteria and Bayesian information criteria. We also evaluate the two models from an asset‐allocation perspective using a three‐asset portfolio as an example, constructing optimal portfolios based on the Markowitz theory. Our results indicate that, for our data, the proposed models both outperform the standard BEKK model, with the copula model performing better than the extension of the BEKK model.",
28,10.1111/j.1467-9892.2008.00573.x,An Extended Portmanteau Test for VARMA Models With Mixing Nonlinear Constraints,Journal of Time Series Analysis,2008-07,https://openalex.org/W2146462360,True,"Abstract. The portmanteau test is a widely used diagnostic tool for univariate and multivariate time‐series models. Its asymptotic distribution is known for the unconstrained vector autoregressive moving‐average (VARMA) case and for VAR models with constraints on the autoregressive coefficients. In this article, we give conditions under which the test can be applied to constrained VARMA models. Unfortunately, it cannot generally be applied to models with constraints that simultaneously affect the ARMA polynomial coefficients and the covariance matrix of the innovations (mixing constraints). This happens in latent‐variable models such as dynamic factor models (DFM). In addition, when there are constraints on the covariance matrix it seems convenient to check the goodness of fit using the zero‐lag residual covariances. We propose an extended portmanteau test that not only checks the autocorrelations of the residuals but also whether their covariance matrix is consistent with the constraints. We prove that the statistic is asymptotically distributed as a chi‐square for ARMA models under the assumption that the innovations have Gaussian‐like fourth‐order moments. We also show that the test is appropriate for the DFM, Peña–Box model and factor‐structural vector autoregression (FSVAR).",
29,10.1111/j.1467-9892.2009.00607.x,A parametric estimation method for dynamic factor models of large dimensions,Journal of Time Series Analysis,2009-03,https://openalex.org/W3121525220,True,"Abstract. The estimation of dynamic factor models for large sets of variables has attracted considerable attention recently, because of the increased availability of large data sets. In this article we propose a new parametric methodology for estimating factors from large data sets based on state–space models and discuss its theoretical properties. In particular, we show that it is possible to estimate consistently the factor space. We also conduct a set of simulation experiments that show that our approach compares well with existing alternatives.",
30,10.1111/j.1467-9892.2010.00676.x,Tests of strict stationarity based on quantile indicators,Journal of Time Series Analysis,2010-07,https://openalex.org/W1571239043,True,"Quantiles provide a comprehensive description of the properties of a variable, and tracking changes in quantiles over time using signal extraction methods can be informative. It is shown here how departures from strict stationarity can be detected using stationarity tests based on weighted quantile indicators. Corresponding tests based on expectiles are also proposed; these might be expected to be more powerful for distributions that are not heavy‐tailed. Tests for changing dispersion and asymmetry may be based on contrasts between particular quantiles or expectiles. An overall test of the null hypothesis of strict stationarity can be constructed using the indicators from a range of quantiles. Residuals from fitting a time‐varying level or trend may be used to construct tests for relative time invariance. Empirical examples, using stock returns and US inflation, demonstrate the practical value of the tests.",
31,10.1111/j.1467-9892.2010.00678.x,Autoregressive trending risk function and exhaustion in random asset price movement,Journal of Time Series Analysis,2010-08,https://openalex.org/W1899890244,True,"In this article, we look again at the derivation of Black–Scholes option value equation. The risk function involved, as we discussed, if looked at more closely, is more complicated than the standard deviation function that people are used to. This observed risk function implies interesting properties of asset price movements in real‐world situations and it seems to have the ability to indicate when price move in one direction is ‘exhausted’ and a reverse of trend should take place. Therefore, a model based on random walk theory may derive autoregressive trend reversing indicator at particular moments of asset price movements.",
32,10.1111/j.1467-9892.2010.00706.x,Stability conditions for heteroscedastic factor models with conditionally autoregressive betas,Journal of Time Series Analysis,2011-01,https://openalex.org/W2151827500,True,"We characterize the stability properties of a heteroscedastic multi-factor model of financial asset returns, with conditionally known factors and beta coefficients driven by general conditionally autoregressive processes. These processes generalize existing structures and address a number of empirical issues of current concern. Our analysis derives closed-form sufficient conditions for the existence of strict stationary solutions for the composite asset conditional variances and covariances, not known previously in the literature. It is shown that stability is guaranteed when individual-process and cross-process restrictions hold simultaneously. Our results are also applicable to the study of the co-movement between volatility and beta coefficients as well as between beta coefficients themselves. © 2011 Blackwell Publishing Ltd.",
33,10.1111/j.1467-9892.2011.00730.x,A spatio‐temporal analysis of the spread of sugarcane yellow leaf virus,Journal of Time Series Analysis,2011-04,https://openalex.org/W1508899574,True,"The spatio‐temporal dynamics of disease spread provide an area of acute scientific interest but substantial analytic challenges. Analytic approaches need to draw from current knowledge of disease systems yet be flexible enough to provide targeted inference without restrictive assumptions. We explore this balance in detail with respect to the observed pattern of spread of sugarcane yellow leaf virus, the causal agent of yellow leaf disease. This disease affects cultivated sugarcane plants and spreads via an aphid vector ( Melanaphis sacchari ). The system is of considerable economic interest, but presents several analytic complications. First, the plants begin as well separated individuals that grow into large plants with overlapping leaf canopies enabling increased vector access between neighbouring plants. The overlap between neighbouring plants first occurs within rows and then extends between rows, presenting another interesting spatial component to consider when modelling the propagation of infection. Second, the vector initially flies between plants but at some point sheds wings and shifts to walking between plants. We are particularly interested in how these two features of the system and their interrelation may impact the spatial spread of disease over time. In addition, we also explore the impact of potential immigration of infected vectors from outside of the study area. We treat our observed cane field as a spatial grid with regular spacing between rows and smaller spacing within rows. Our data consist of observed disease status of each of 1643 plants at each of six time points. We provide descriptive summaries of the temporal evolution of spatial pattern in infection, then propose hierarchical models to describe the pattern and capture the influence of the ecological and environmental factors listed above.",
34,10.1111/j.1467-9892.2011.00740.x,Efficient estimation and particle filter for max‐stable processes,Journal of Time Series Analysis,2011-05,https://openalex.org/W1499955083,True,"Extreme values are often correlated over time, for example, in a financial time series, and these values carry various risks. Max‐stable processes such as maxima of moving maxima (M3) processes have been recently considered in the literature to describe time‐dependent dynamics, which have been difficult to estimate. This article first proposes a feasible and efficient Bayesian estimation method for nonlinear and non‐Gaussian state space models based on these processes and describes a Markov chain Monte Carlo algorithm where the sampling efficiency is improved by the normal mixture sampler. Furthermore, a unique particle filter that adapts to extreme observations is proposed and shown to be highly accurate in comparison with other well‐known filters. Our proposed algorithms were applied to daily minima of high‐frequency stock return data, and a model comparison was conducted using marginal likelihoods to investigate the time‐dependent dynamics in extreme stock returns for financial risk management.",
35,10.1111/j.1467-9892.2011.00741.x,Weighted scatter estimation method of the GO‐GARCH models,Journal of Time Series Analysis,2011-06,https://openalex.org/W1947415389,True,"We propose a new estimation method for the factor loading matrix in modelling multivariate volatility processes. The key step of the method is based on the weighted scatter estimators, which does not involve optimizing any objective function. The method can therefore be easily applied to high‐dimensional systems without running into computational problems. The estimation is proved to be consistent and the asymptotic distribution is derived. The method inherits robust properties in dealing with ‘outlier’ clusters generated by GARCH processes. Through both simulation and real‐world case studies, we show that the method works well.",
36,10.1111/j.1467-9892.2012.00783.x,A similarity‐based approach to time‐varying coefficient non‐stationary autoregression,Journal of Time Series Analysis,2012-03,https://openalex.org/W1919579084,True,"We suggest in this article a similarity‐based approach to time‐varying coefficient non‐stationary autoregression. In a given sample, the model can display characteristics consistent with stationary, unit root and explosive behaviour, depending on the similarity between the dependent variable and its past values. We establish consistency of the quasi‐maximum likelihood estimator of the model, with a general norming factor. Asymptotic score‐based hypothesis tests are derived. The model is applied to a data set comprised of dual stocks traded in NASDAQ and the Tokyo Stock Exchange.",
37,10.1111/jtsa.12006,CUSUM‐type testing for changing parameters in a spatial autoregressive model for stock returns,Journal of Time Series Analysis,2012-12,https://openalex.org/W2165092292,True,"The article suggests a CUSUM‐type test for time‐varying parameters in a recently proposed spatial autoregressive model for stock returns and derives its asymptotic null distribution as well as local power properties. As can be seen from Euro Stoxx 50 returns, a combination of spatial modelling and change point tests might allow for superior risk forecasts in portfolio management.",
38,10.1111/jtsa.12051,A FLEXIBLE STATE SPACE MODEL AND ITS APPLICATIONS,Journal of Time Series Analysis,2013-10,https://openalex.org/W2112821868,True,"The standard state space model treats observations as imprecise measurement of the Markovian states. Our flexible model handles the states and observations symmetrically, which are simultaneously determined by past observations and up to first‐lagged states. The only distinction between the states and observations is the observability. When it is applied to the autoregressive moving average, dynamic factor and stochastic volatility models, the state space form is both parsimonious and intuitive, for low‐dimension states are constructed simply by stacking all the relevant but unobserved components in the structural model.",
39,10.1111/jtsa.12118,Bootstrap Inference in Regressions with Estimated Factors and Serial Correlation,Journal of Time Series Analysis,2015-01,https://openalex.org/W1958202065,True,"This article considers bootstrap inference in a factor‐augmented regression context where the errors could potentially be serially correlated. This generalizes results in Gonçalves &amp; Perron (2014) and makes the bootstrap applicable to forecasting contexts where the forecast horizon is greater than one. We propose and justify two residual‐based approaches, a block wild bootstrap and a dependent wild bootstrap. Our simulations document improvement in coverage rates of confidence intervals for the coefficients when using block wild bootstrap or dependent wild bootstrap relative to both asymptotic theory and the wild bootstrap when serial correlation is present in the regression errors.",
